250,Bumerangue,242
251,Caça,242
252,Frisbee,242
253,Snooker,242
254,Outros,111
255,Dominó,254
256,Pesca,254
257,Carteado,254
258,Xadres,254
259,Pebolim / Matraquilho,254
2,Psiquê,0
260,áreas do conhecimento,2
261,CIÊNCIAS EXATAS E DA TERRA,260
262,MATEMÁTICA,261
263,PROBABILIDADE E ESTATÍSTICA,261
264,CIÊNCIA DA COMPUTAÇÃO,261
265,ASTRONOMIA,261
266,FÍSICA,261
267,QUÍMICA,261
268,GEOCIÊNCIAS,261
269,CIÊNCIAS BIOLÓGICAS,260
270,GENÉTICA,261
271,MORFOLOGIA,261
272,FISIOLOGIA,261
273,BIOQUÍMICA,261
274,BIOFÍSICA,261
275,FARMACOLOGIA,261
276,IMUNOLOGIA,261
277,MICROBIOLOGIA,261
278,PARASITOLOGIA,261
279,ECOLOGIA,261
280,OCEANOGRAFIA,261
281,BOTÂNICA,261
282,ZOOLOGIA,261
283,ENGENHARIAS,260
284,ENGENHARIA CIVIL,283
285,ENGENHARIA SANITÁRIA,283
286,ENGENHARIA DE TRANSPORTES,283
287,ENGENHARIA DE MINAS,283
288,ENGENHARIA DE MATERIAIS E METALÚRGICA,283
289,ENGENHARIA QUÍMICA,283
290,ENGENHARIA NUCLEAR,283
291,ENGENHARIA MECÂNICA,283
292,ENGENHARIA DE PRODUÇÃO,283
293,ENGENHARIA NAVAL E OCEÂNICA,283
294,ENGENHARIA AEROESPACIAL,283
295,ENGENHARIA ELÉTRICA,283
296,ENGENHARIA BIOMÉDICA,283
297,CIÊNCIAS DA SAÚDE,260
298,MEDICINA,297
299,NUTRIÇÃO,297
300,ODONTOLOGIA,297
301,FARMÁCIA,297
302,ENFERMAGEM,297
303,SAÚDE COLETIVA,297
304,EDUCAÇÃO FÍSICA,297
305,FONOAUDIOLOGIA,297
306,FISIOTERAPIA E TERAPIA OCUPACIONAL,297
307,CIÊNCIAS AGRÁRIAS,260
308,CIÊNCIAS AGRÁRIAS,307
309,RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL,307
310,ENGENHARIA AGRÍCOLA,307
311,ZOOTECNIA,307
312,RECURSOS PESQUEIROS E ENGENHARIA DE PESCA,307
313,MEDICINA VETERINÁRIA,307
314,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,307
315,CIÊNCIAS SOCIAIS APLICADAS,260
316,DIREITO,315
317,ADMINISTRAÇÃO,315
318,TURISMO,315
319,ECONOMIA,315
320,ARQUITETURA E URBANISMO,315
321,DESENHO INDUSTRIAL,315
322,PLANEJAMENTO URBANO E REGIONAL,315
323,DEMOGRAFIA,315
324,CIÊNCIA DA INFORMAÇÃO,315
325,MUSEOLOGIA,315
326,COMUNICAÇÃO,315
327,SERVIÇO SOCIAL,315
328,CIÊNCIAS HUMANAS,260
329,FILOSOFIA,328
330,TEOLOGIA,328
331,SOCIOLOGIA,328
332,ANTROPOLOGIA,328
333,ARQUEOLOGIA,328
334,HISTÓRIA,328
335,GEOGRAFIA,328
336,PSICOLOGIA,328
337,EDUCAÇÃO / PEDAGOGIA,328
338,CIÊNCIA POLÍTICA,328
339,"LINGUÍSTICA, LETRAS E ARTES",260
340,LINGUÍSTICA,339
341,LETRAS,339
342,ARTES,339
3,Anima,0
343,Religião,3
344,Monoteísmo,343
345,Abraâmicas,344
346,Cristianismo,345
347,Adventismo,346
348,Assíria,346
349,Autenticismo,346
350,Catolicismo,346
351,Ebionismo,346
352,Espiritismo,346
353,Gnosticismo,346
354,Haymanot,346
355,Humanístico,346
356,Israelitas negros,346
357,Messiânico,346
358,Mormonismo,346
359,Neopentecostalismo,346
360,Ortodoxia,346
361,Protestantismo,346
362,Reconstrucionista,346
